,Ruby Waves: Sign. Wave Height,Ruby Waves: Max. Wave Height,Ruby Waves: Peak Wave Period,"Ruby Waves: Wave Period, T02",Ruby Waves: Mean Wave Direction,Ruby Waves: x-comp. of wave height vector,Ruby Waves: y-comp. of wave height vector,Ruby Waves: Wind speed,Ruby Waves: Wind direction
2020-08-12 17:00:00,1.6347466707229614,3.1988792419433594,6.816469669342041,4.525001049041748,88.685302734375,-1.6342264413833618,-0.037629302591085434,7.200214862823486,94.05962371826172
2020-08-12 17:30:00,1.6404939889907837,3.20971941947937,6.841108798980713,4.532933235168457,88.60262298583984,-1.639915943145752,-0.040126051753759384,7.271635055541992,93.76306915283203
2020-08-12 18:00:00,1.647155523300171,3.222569227218628,6.865840911865234,4.535012245178223,88.48684692382812,-1.646492838859558,-0.04360763356089592,7.343270778656006,93.47248077392578
2020-08-12 18:30:00,1.6517729759216309,3.2312140464782715,6.8898606300354,4.543017864227295,88.27690124511719,-1.650940179824829,-0.049768440425395966,7.2701544761657715,91.37287139892578
2020-08-12 19:00:00,1.6529299020767212,3.2328271865844727,6.912504196166992,4.557707786560059,87.96253204345703,-1.6518019437789917,-0.05885733664035797,7.207024574279785,89.23352813720703
2020-08-12 19:30:00,1.6529021263122559,3.2323498725891113,6.932952880859375,4.565739631652832,87.6623306274414,-1.6514501571655273,-0.06750115007162094,7.247805118560791,88.67422485351562
2020-08-12 20:00:00,1.6530691385269165,3.2326176166534424,6.950439929962158,4.56437349319458,87.4380874633789,-1.651349425315857,-0.07396247982978821,7.289418697357178,88.1212387084961
2020-08-12 20:30:00,1.6517595052719116,3.2299747467041016,6.964814186096191,4.564507961273193,87.2711181640625,-1.6498242616653442,-0.07870377600193024,7.2315521240234375,87.47505187988281
2020-08-12 21:00:00,1.6481220722198486,3.2226431369781494,6.976446151733398,4.568509101867676,87.12432098388672,-1.6459856033325195,-0.08274148404598236,7.174976348876953,86.82040405273438
2020-08-12 21:30:00,1.645816683769226,3.21840763092041,6.985542297363281,4.559412956237793,86.86009979248047,-1.6432822942733765,-0.0902065709233284,7.31520414352417,83.1951675415039
2020-08-12 22:00:00,1.6483180522918701,3.224322557449341,6.991621971130371,4.532697677612305,86.39552307128906,-1.6449878215789795,-0.10369737446308136,7.483683109283447,79.72061920166016
2020-08-12 22:30:00,1.655478596687317,3.2396998405456543,6.993505477905273,4.500565528869629,85.83766174316406,-1.6510387659072876,-0.12024008482694626,7.651858329772949,78.58564758300781
2020-08-12 23:00:00,1.6656115055084229,3.260795831680298,6.990021705627441,4.473996162414551,85.27116394042969,-1.6598700284957886,-0.1373947113752365,7.823022365570068,77.50138092041016
2020-08-12 23:30:00,1.677697777748108,3.285487413406372,6.980633735656738,4.454647541046143,84.7167739868164,-1.6705021858215332,-0.15455999970436096,8.035892486572266,76.92381286621094
2020-08-13 00:00:00,1.6925549507141113,3.315570116043091,6.965441703796387,4.436513423919678,84.17678833007812,-1.6837571859359741,-0.1718025654554367,8.249589920043945,76.37611389160156
